,Loc Name,Loc,Loc Purp Desc,Loc/QTI,All Qty Avail,DC,OPC,Nominated FirmQuantity,Nominated InterruptibleQuantity,Scheduled Firm Quantity,Scheduled InterruptibleQuantity,TSQ,OAC*,Flow Ind,IT,Comments,Qty Reason
0,ALTAMONT DELIVERY,845,Delivery Location,DPQ,Y,0,0,0,0,0,0,0,0,D,N,-,-
1,ALTAMONT MM,145,Receipt Location,RPQ,Y,76500,75000,64908,0,64533,0,64533,10467,R,N,-,-
2,AMOCO 4 MI SHP MS 52,13,Receipt Location,RPQ,Y,9100,8600,1,0,1,0,1,8599,R,N,-,-
3,BEAR CREEK TAP,385,Receipt Location,RPQ,Y,4700,4080,0,0,0,0,0,4080,R,N,Deactivated**,-
4,BELLE BUTTE STORAGE INJECTION,820,Delivery Location,DPQ,Y,86000,86000,0,0,0,0,0,86000,D,N,-,-
5,BELLE BUTTE STORAGE INJECTION VIA DEOP,425,Delivery Location,DPQ,Y,0,0,2276,0,2276,0,2276,-2276,D,N,Off-System QOPC***,-
6,BELLE BUTTE STORAGE WITHDRAWAL,420,Receipt Location,RPQ,Y,86000,86000,0,0,0,0,0,86000,R,N,-,-
7,BLACK MOUNTAIN TAP,7,Receipt Location,RPQ,Y,4400,4000,0,0,0,0,0,4000,R,N,Deactivated**,-
8,BLACKS FORK OUT/QPC,247,Receipt Location,RPQ,Y,91000,86000,49960,0,49890,0,49890,36110,R,N,-,-
9,BLUE FOREST TAP,67,Receipt Location,RPQ,Y,78000,78000,13830,0,13830,0,13830,64170,R,N,-,-
10,BLUE GRAVEL M&R,6,Receipt Location,RPQ,Y,9400,8900,119,0,119,0,119,8781,R,N,-,-
11,BLUEBELL PLT (DEL),415,Delivery Location,DPQ,Y,4490,4490,0,0,0,0,0,4490,D,N,-,-
12,BLUEBELL RECEIPT,815,Receipt Location,RPQ,Y,15300,15000,6771,2021,6761,0,6761,8239,R,N,-,-
13,BRIDGELAND REC,453,Receipt Location,RPQ,Y,60000,58750,0,0,0,0,0,58750,R,N,-,-
14,BRUNDAGE MTN TAP,144,Receipt Location,RPQ,Y,70000,64000,13715,0,13715,0,13715,50285,R,N,-,-
15,BUCCANEER LTL INTRCT,365,Receipt Location,RPQ,Y,2350,2350,0,0,0,0,0,2350,R,N,-,-
16,BULL MOUNTAIN,99,Receipt Location,RPQ,Y,25000,25000,7548,0,7548,0,7548,17452,R,N,-,-
17,BULLDOG M.S.,423,Receipt Location,RPQ,Y,18000,18000,500,0,500,0,500,17500,R,N,-,-
18,CANYON CR SHALLOW,51,Receipt Location,RPQ,Y,15000,14000,0,0,0,0,0,14000,R,N,-,-
19,CARTER CR FUEL GAS,193,Delivery Location,DPQ,Y,35900,28720,0,0,0,0,0,28720,D,N,-,-
20,CHALK CR STORAGE WD,97,Withdrawal Point,SWQ,Y,55400,52100,0,0,0,0,0,52100,SW,N,-,-
21,CHALK CR. RESERVOIR,186,Storage Area,STQ,N,-,-,0,0,0,0,0,-,-,N,-,DC and OPC lost to data error.
22,CHAMP SHELL CREEK 2,39,Receipt Location,RPQ,Y,19700,18700,0,0,0,0,0,18700,R,N,Deactivated**,-
23,CHANDLER MM #149,3,Receipt Location,RPQ,Y,9300,8700,262,0,262,0,262,8438,R,N,-,-
24,CHICKEN CREEK MM,91,Receipt Location,RPQ,Y,0,0,0,0,0,0,0,0,R,N,Deactivated**,-
25,CHIPETA PROCESSING (DEL),821,Delivery Location,DPQ,Y,220000,220000,40873,10000,40784,0,40784,179216,D,N,-,-
26,CHIPETA PROCESSING (REC),421,Receipt Location,RPQ,Y,306000,306000,97644,401,88238,401,88639,217361,R,Y,-,-
27,CLAY BASIN FRONTIER,65,Receipt Location,RPQ,Y,25000,23000,2585,0,2585,0,2585,20415,R,N,-,-
28,CLAY BASIN NWP INJ,852,Injection Point,SIQ,Y,250000,330000,1020442,30000,188539,25000,213539,116461,SI,Y,Clay Basin*****,-
29,CLAY BASIN NWP WD,152,Withdrawal Point,SWQ,Y,320000,320000,332691,0,310,0,310,319690,SW,N,Clay Basin*****,-
30,CLAY BASIN QPC INJ,866,Injection Point,SIQ,Y,217960,217960,103078,0,97089,0,97089,120871,SI,N,Clay Basin*****,-
31,CLAY BASIN QPC WD,66,Withdrawal Point,SWQ,Y,700000,700000,66118,0,56012,0,56012,643988,SW,N,Clay Basin*****,-
32,CLAY BASIN RESERVOIR,184,Storage Area,STQ,N,-,450000,0,0,0,0,0,450000,-,N,-,OPC lost to data error.
33,CLOUGH RULISON RIFLE,107,Receipt Location,RPQ,Y,47700,44000,0,0,0,0,0,44000,R,N,-,-
34,CO2 PLT OUTLET,302,Receipt Location,RPQ,Y,139000,136250,29962,0,29962,0,29962,106288,R,N,-,-
35,COALVILLE RESERVOIR,187,Storage Area,STQ,N,-,-,0,0,0,0,0,-,-,N,-,DC and OPC lost to data error.
36,COALVILLE STORAGE WD,98,Withdrawal Point,SWQ,Y,67545,54000,0,0,0,0,0,54000,SW,N,-,-
37,COYOTE FLATS,381,Receipt Location,RPQ,Y,4900,4000,0,0,0,0,0,4000,R,N,Deactivated**,-
38,CRAIG DEL,804,Delivery Location,DPQ,Y,8300,8300,900,0,900,0,900,7400,D,N,-,-
39,CURRANT CREEK PWR,362,Delivery Location,DPQ,Y,190000,190000,56007,0,56007,0,56007,133993,D,N,-,-
40,DRAGON TRAIL MM DEL,813,Delivery Location,DPQ,Y,44000,44000,0,0,0,0,0,44000,D,N,-,-
41,DRIPPING ROCK,386,Receipt Location,RPQ,Y,52000,49000,7737,0,7737,0,7737,41263,R,N,-,-
42,EAKIN TO OTPL,384,Delivery Location,DPQ,N,-,75000,0,0,0,0,0,75000,D,N,-,OPC lost to data error.
43,EAST ANSCHUTZ MM,92,Receipt Location,RPQ,Y,71000,61000,0,0,0,0,0,61000,R,N,-,-
44,EAST ANSCHUTZ MM DEL,892,Delivery Location,DPQ,N,-,27000,0,0,0,0,0,27000,D,N,-,OPC lost to data error.
45,EAST LITTLE SNAKE,375,Receipt Location,RPQ,Y,9000,9000,100,0,100,0,100,8900,R,N,-,-
46,ET OUTLET,72,Receipt Location,RPQ,Y,135000,127000,0,0,0,0,0,127000,R,N,-,-
47,EUREKA DELIVERY,452,Delivery Location,DPQ,N,-,2700,0,0,0,0,0,2700,D,N,-,OPC lost to data error.
48,EXXON (COLUMBIA-QPC),84,Receipt Location,RPQ,Y,76000,74000,0,0,0,0,0,74000,R,N,-,-
49,FERRON MM,148,Receipt Location,RPQ,Y,6000,5000,0,0,0,0,0,5000,R,N,Deactivated**,-
50,FIREPLACE ROCK MM103,34,Receipt Location,RPQ,Y,15900,14010,1,0,1,0,1,14009,R,N,-,-
51,FLATTOP BUTTE,444,Delivery Location,DPQ,Y,9600,6280,1000,2000,990,0,990,5290,D,N,-,-
52,FMC,175,Delivery Location,DPQ,Y,29100,29100,3959,11874,3959,11874,15833,13267,D,Y,-,-
53,FORTIFICATION M&R ST,270,Receipt Location,RPQ,Y,16700,15000,0,0,0,0,0,15000,R,N,Deactivated**,-
54,GATE CANYON,349,Receipt Location,RPQ,Y,9600,9300,600,0,600,0,600,8700,R,N,-,-
55,GENERAL CHEMICAL NO. 6,307,Delivery Location,DPQ,Y,4000,4000,49,0,49,0,49,3951,D,N,-,-
56,GENERAL CHEMICAL PLT,318,Delivery Location,DPQ,Y,14200,14200,0,0,0,0,0,14200,D,N,-,-
57,GRANGER MAPCO M&R ST,279,Delivery Location,DPQ,Y,4000,4000,0,5,0,5,5,3995,D,Y,-,-
58,GRANGER OTPL TO QPC/WTNY,434,Receipt Location,RPQ,Y,17000,17000,0,0,0,0,0,17000,R,N,Off-System QOPC***,-
59,GREEN RIVER M&R #2,359,Receipt Location,RPQ,Y,69000,66500,7800,0,7800,0,7800,58700,R,N,-,-
60,HAMS FORK FROM QPC,389,Delivery Location,DPQ,Y,0,0,0,0,0,0,0,0,D,N,Off-System QOPC***,-
61,HAYES WASH TAP,341,Receipt Location,RPQ,Y,9000,8820,9000,0,9000,0,9000,-180,R,N,-,-
62,HELLS GULCH,372,Receipt Location,RPQ,Y,38000,35300,0,0,0,0,0,35300,R,N,-,-
63,HELPER FEDERAL,242,Receipt Location,RPQ,Y,10000,9800,10375,0,10000,0,10000,-200,R,N,-,-
64,HIAWATHA DEEP CM,42,Receipt Location,RPQ,Y,20000,20000,1767,0,1767,0,1767,18233,R,N,-,-
65,HORSE BENCH TAP,343,Receipt Location,RPQ,Y,5000,4000,915,0,915,0,915,3085,R,N,-,-
66,HUBER CHRISTIANSEN,18,Receipt Location,RPQ,Y,4100,3900,170,0,170,0,170,3730,R,N,-,-
67,HUNTER MESA TAP,103,Receipt Location,RPQ,Y,84000,77000,0,0,0,0,0,77000,R,N,-,-
68,HUNTINGTON PLANT,411,Receipt Location,RPQ,Y,165000,161750,8504,0,8504,0,8504,153246,R,N,-,-
69,INTERPLANETARY TAP,395,Receipt Location,RPQ,Y,183000,165000,0,0,0,0,0,165000,R,N,-,-
70,JOYCE CREEK MS 20,58,Receipt Location,RPQ,Y,3600,3500,1,0,1,0,1,3499,R,N,-,-
71,K.R. GOSHEN - REC,836,Receipt Location,RPQ,Y,374000,374000,0,0,0,0,0,374000,R,N,-,-
72,KANDA/COL CIG DEL,171,Delivery Location,DPQ,Y,178000,178000,50,0,50,0,50,177950,D,N,-,-
73,KANDA/COL CIG REC,871,Receipt Location,RPQ,Y,138000,130000,73043,2007,73043,2007,75050,54950,R,Y,-,-
74,KANDA/COL OTPL DEL,281,Delivery Location,DPQ,Y,300000,300000,66613,0,66563,0,66563,233437,D,N,-,-
75,KANDA/COL WIC DEL,172,Delivery Location,DPQ,Y,330000,330000,14000,0,0,0,0,330000,D,N,-,-
76,KEMMERER GATE TO OTP,345,Delivery Location,DPQ,Y,3820,3820,600,0,600,0,600,3220,D,N,Off-System QOPC***,-
77,KENAI PINE MTN,52,Receipt Location,RPQ,Y,10010,7110,0,0,0,0,0,7110,R,N,-,-
78,KERN RIVER - GOSHEN,336,Delivery Location,DPQ,Y,624000,624000,267521,0,267521,0,267521,356479,D,N,-,-
79,LAKE BOREHAM TAP,414,Receipt Location,RPQ,Y,5200,5000,0,0,0,0,0,5000,R,N,Deactivated**,-
80,LEROY RESERVOIR,185,Storage Area,STQ,N,-,-,0,0,0,0,0,-,-,N,-,DC and OPC lost to data error.
81,LEROY STORAGE WD,82,Withdrawal Point,SWQ,Y,150000,116000,0,0,0,0,0,116000,SW,N,-,-
82,LEUCITE HILLS M&R,327,Receipt Location,RPQ,Y,13000,12500,923,0,634,0,634,11866,R,N,-,-
83,LOGAN FEDERAL 1,94,Receipt Location,RPQ,Y,2600,2400,0,274,0,274,274,2126,R,Y,-,-
84,LUCKEY DITCH C.M.,80,Delivery Location,DPQ,Y,22500,21000,86,0,86,0,86,20914,D,N,-,-
85,LUCKEY DITCH CM-REC,880,Receipt Location,RPQ,Y,42310,42310,0,0,0,0,0,42310,R,N,-,-
86,MAPCO,170,Delivery Location,DPQ,Y,10700,8700,0,143,0,143,143,8557,D,Y,-,-
87,MIDDLE BAXTER MM,60,Receipt Location,RPQ,Y,3200,3200,25,0,25,0,25,3175,R,N,-,-
88,MILLER CREEK M&R,316,Receipt Location,RPQ,Y,7700,6800,880,0,647,0,647,6153,R,N,-,-
89,MOFFAT\SAND HILLS,245,Receipt Location,RPQ,Y,3500,3500,0,0,0,0,0,3500,R,N,Deactivated**,-
90,N.B. 101 RECEIPT,823,Receipt Location,RPQ,Y,162000,147000,0,0,0,0,0,147000,R,N,Deactivated**,-
91,NAUGHTON,207,Delivery Location,DPQ,Y,87000,87000,25738,0,25738,0,25738,61262,D,N,Off-System QOPC***,-
92,NEBO TAP,355,Delivery Location,DPQ,Y,30000,30000,0,0,0,0,0,30000,D,N,-,-
93,NEPHI CURRANT CREEK,447,Delivery Location,DPQ,Y,7000,7000,1463,0,1463,0,1463,5537,D,N,-,-
94,NITCHIE GULCH,330,Receipt Location,RPQ,Y,3500,3400,0,0,0,0,0,3400,R,N,Deactivated**,-
95,NO NITCHIE TRANS MET,62,Receipt Location,RPQ,Y,13500,12900,160,0,160,0,160,12740,R,N,-,-
96,NO. BAXTER FLD CMPR,326,Receipt Location,RPQ,Y,3300,3300,0,0,0,0,0,3300,R,N,-,-
97,NORTH CRAIG MM #46,1,Receipt Location,RPQ,Y,4700,4080,150,0,150,0,150,3930,R,N,-,-
98,NORTH MONUMENT BUTTE,266,Receipt Location,RPQ,Y,42800,40000,0,0,0,0,0,40000,R,N,-,-
99,NORTH MONUMENT FUEL TAP,439,Delivery Location,DPQ,Y,13000,13000,0,397,0,397,397,12603,D,Y,-,-
100,OPAL PLANT TO QPC/EAKIN,429,Receipt Location,RPQ,Y,30500,30000,0,0,0,0,0,30000,R,N,Off-System QOPC***,-
101,OPAL PLANT TO QPC/WTNY,428,Receipt Location,RPQ,Y,5000,5000,0,0,0,0,0,5000,R,N,Off-System QOPC***,-
102,OPAL TO JL95,449,Receipt Location,RPQ,Y,48000,47000,25000,0,25000,-25000,0,47000,R,Y,Off-System QOPC***,-
103,OTPL JL95 INTERCONNECT,443,Receipt Location,RPQ,Y,70500,69100,0,26363,0,26363,26363,42737,R,Y,-,-
104,OTPL TO QPC EAKIN,387,Receipt Location,RPQ,Y,118000,105000,0,0,0,0,0,105000,R,N,-,-
105,OTPL to QPC X016 REC,869,Receipt Location,RPQ,Y,350000,350000,2500,0,2500,0,2500,347500,R,N,-,-
106,OVERTHRUST 121 / KRGT PAINTER FROM QPC,390,Delivery Location,DPQ,Y,0,0,0,0,0,0,0,0,D,N,Off-System QOPC***,-
107,OVERTHRUST JL 36 MS,285,Receipt Location,RPQ,Y,298000,298000,30149,0,30149,0,30149,267851,R,N,-,-
108,PAINTER NRU/NGL,88,Receipt Location,RPQ,Y,72000,55000,0,0,0,0,0,55000,R,N,-,-
109,PAYSON GATE - NEPHI,165,Delivery Location,DPQ,Y,24500,22000,0,0,0,0,0,22000,D,N,-,-
110,PETERS POINT #2,353,Receipt Location,RPQ,Y,143850,143850,25265,0,25265,0,25265,118585,R,N,-,-
111,PHILPOTT TAP,100,Receipt Location,RPQ,Y,20300,18600,1000,0,1000,0,1000,17600,R,N,-,-
112,PINE CANYON M&R,323,Receipt Location,RPQ,Y,12000,12000,365,0,251,0,251,11749,R,N,-,-
113,PINE VIEW MS 81,95,Receipt Location,RPQ,Y,22500,20000,450,0,450,0,450,19550,R,N,-,-
114,PIONEER PLT TO QPC/EAKIN,431,Receipt Location,RPQ,Y,48000,0,0,0,0,0,0,0,R,N,Off-System QOPC***,-
115,PIONEER PLT TO QPC/WTNY,430,Receipt Location,RPQ,Y,0,0,0,150,0,150,150,-150,R,Y,Off-System QOPC***,-
116,PLEASANT VALLEY TAP,413,Receipt Location,RPQ,Y,43000,40700,31662,0,31399,0,31399,9301,R,N,-,-
117,POLE GULCH MS 53,14,Receipt Location,RPQ,Y,2720,2720,80,0,80,0,80,2640,R,N,-,-
118,POWDER WASH MM,35,Receipt Location,RPQ,Y,47600,43000,6540,0,6540,0,6540,36460,R,N,-,-
119,QGC EVANSTON,177,Delivery Location,DPQ,Y,50820,33840,3767,0,3767,0,3767,30073,D,N,-,-
120,QGC INDIANOLA,166,Delivery Location,DPQ,Y,70000,70000,7000,0,7000,0,7000,63000,D,N,-,-
121,QGC ROCK SPRINGS,169,Delivery Location,DPQ,Y,60000,43400,10481,0,10481,0,10481,32919,D,N,-,-
122,QGC UTAH NORTH,162,Delivery Location,DPQ,Y,85000,85000,5399,0,5380,0,5380,79620,D,N,-,-
123,QGC UTAH SOUTH,163,Delivery Location,DPQ,Y,62570,55870,494,0,494,0,494,55376,D,N,-,-
124,QGC VERNAL,334,Delivery Location,DPQ,N,-,10000,0,0,0,0,0,10000,D,N,-,OPC lost to data error.
125,QGC WASATCH FRONT,164,Delivery Location,DPQ,Y,1431980,1164560,272412,271,267642,271,267913,896647,D,Y,-,-
126,QGC WYOMING,168,Delivery Location,DPQ,Y,105840,77820,2526,0,2526,0,2526,75294,D,N,-,-
127,QGC/104,332,Delivery Location,DPQ,Y,250000,250000,67435,0,67435,0,67435,182565,D,N,-,-
128,QPC GRANGER TO OTPL,814,Delivery Location,DPQ,Y,117320,117320,0,0,0,0,0,117320,D,N,-,-
129,QPC GREASEWOOD DEL,297,Delivery Location,DPQ,Y,90000,80000,0,0,0,0,0,80000,D,N,-,-
130,QPC TO REX,408,Delivery Location,DPQ,Y,200000,200000,0,0,0,0,0,200000,D,N,Off-System WRH****,-
131,QUARLES M&R,229,Delivery Location,DPQ,Y,3400,3400,45,0,45,0,45,3355,D,N,-,-
132,RABBIT MOUNTAIN MM,114,Receipt Location,RPQ,Y,11900,10900,0,0,0,0,0,10900,R,N,Deactivated**,-
133,RANDLETT TAP,419,Receipt Location,RPQ,Y,67000,67000,9197,10106,9197,0,9197,57803,R,N,-,-
134,RED WASH - FIDLAR,370,Receipt Location,RPQ,Y,330000,312000,168499,3112,168029,3112,171141,140859,R,Y,-,-
135,RIFLE COGEN,160,Delivery Location,DPQ,Y,29000,0,0,0,0,0,0,0,D,N,-,-
136,RIFLE TO RMNG,264,Delivery Location,DPQ,Y,17000,1,0,0,0,0,0,1,D,N,Deactivated**,-
137,ROBERSON CREEK,176,Delivery Location,DPQ,Y,4836,4836,502,0,502,0,502,4334,D,N,Off-System QOPC***,-
138,ROBERSON THRU KANDA,388,Delivery Location,DPQ,Y,42936,42936,31564,0,31515,0,31515,11421,D,N,Off-System QOPC***,-
139,RUBY FROM QPC,424,Delivery Location,DPQ,Y,1000,1000,0,0,0,0,0,1000,D,N,Off-System QOPC***,-
140,RYANS GULCH DEL.,161,Delivery Location,DPQ,Y,6270,5440,1500,1100,1500,1100,2600,2840,D,Y,-,-
141,SALT WELLS M&R,294,Receipt Location,RPQ,Y,9700,9000,77,0,53,0,53,8947,R,N,-,-
142,SANDWASH TAP,20,Receipt Location,RPQ,Y,9700,6810,0,0,0,0,0,6810,R,N,Deactivated**,-
143,SHUTE CREEK DELIVERY,448,Delivery Location,DPQ,N,-,78000,0,0,0,0,0,78000,D,N,-,OPC lost to data error.
144,SHUTE CREEK MM,69,Receipt Location,RPQ,Y,193000,180000,14000,0,14000,0,14000,166000,R,N,-,-
145,SKULL CREEK DELIVERY,167,Delivery Location,DPQ,Y,40000,40000,0,0,0,0,0,40000,D,N,-,-
146,SKULL CREEK RECEIPT,967,Receipt Location,RPQ,Y,41055,40250,0,0,0,0,0,40250,R,N,-,-
147,SLATER DOME TAP,344,Receipt Location,RPQ,Y,6100,5600,0,0,0,0,0,5600,R,N,Deactivated**,-
148,SODA ASH PLANTS,265,Delivery Location,DPQ,Y,2500,2500,73,0,73,0,73,2427,D,N,-,-
149,SOUTH BAGGS MS 35,17,Receipt Location,RPQ,Y,9000,8500,1200,0,1200,0,1200,7300,R,N,-,-
150,SOUTH BAGGS MS 49,15,Receipt Location,RPQ,Y,9510,8150,200,0,200,0,200,7950,R,N,-,-
151,SOUTH BAXTER,59,Receipt Location,RPQ,Y,8000,6750,0,0,0,0,0,6750,R,N,-,-
152,SOUTH BLUE WATER,363,Receipt Location,RPQ,Y,7000,6600,0,0,0,0,0,6600,R,N,-,-
153,SOUTH LAKE,96,Receipt Location,RPQ,N,-,-,0,0,0,0,0,-,R,N,Deactivated**,DC and OPC lost to data error.
154,STAKE SPRINGS METER STATION,417,Receipt Location,RPQ,Y,16200,15300,0,0,0,0,0,15300,R,N,Deactivated**,-
155,THAYNES TAP (DELIVERY),438,Delivery Location,DPQ,Y,9000,9000,0,0,0,0,0,9000,D,N,-,-
156,UPALCO,446,Receipt Location,RPQ,Y,9945,9750,9107,0,9017,0,9017,733,R,N,-,-
157,UPPER NITCHIE AREA,61,Receipt Location,RPQ,Y,24700,23900,250,0,172,0,172,23728,R,N,-,-
158,VERMILLION PLT OUTLET,293,Receipt Location,RPQ,Y,172500,172500,100926,0,100510,0,100510,71990,R,N,-,-
159,WAMSUTTER (REC) TO QPC,432,Receipt Location,RPQ,Y,0,0,0,0,0,0,0,0,R,N,Off-System QOPC***,-
160,WAMSUTTER M&R FROM DEQP,445,Delivery Location,DPQ,N,-,-,0,0,0,0,0,-,D,N,Off-System QOPC***,DC and OPC lost to data error.
161,WESTSIDE CANAL M&R,9,Receipt Location,RPQ,Y,8900,8400,0,0,0,0,0,8400,R,N,-,-
162,WHITE RIVER HUB (D),410,Delivery Location,DPQ,Y,200000,200000,21082,0,10800,0,10800,189200,D,N,-,-
163,WHITE RIVER HUB (R),409,Receipt Location,RPQ,Y,204000,200000,45437,0,45437,0,45437,154563,R,N,-,-
164,WHITMORE PARK,204,Receipt Location,RPQ,Y,15400,14800,1684,0,1684,0,1684,13116,R,N,-,-
165,WIC RS TO QPC,433,Receipt Location,RPQ,Y,7000,7000,0,0,0,0,0,7000,R,N,Off-System QOPC***,-
166,WIC WAMSUTTER TO QPC,427,Receipt Location,RPQ,Y,9000,9000,0,0,0,0,0,9000,R,N,Off-System QOPC***,-
167,WILCOXIN MM,339,Receipt Location,RPQ,Y,9370,9368,0,0,0,0,0,9368,R,N,Deactivated**,-
168,WILDCAT TAP (C4),329,Receipt Location,RPQ,Y,47000,46000,6300,0,6300,0,6300,39700,R,N,-,-
169,WILLIAMS M&R STATION,217,Receipt Location,RPQ,Y,39000,35000,0,0,0,0,0,35000,R,N,Deactivated**,-
170,WILLOW CREEK 1-29,312,Receipt Location,RPQ,Y,8700,8000,0,0,0,0,0,8000,R,N,Deactivated**,-
171,XO-16-NWP DELIVERY,868,Delivery Location,DPQ,Y,150000,150000,0,0,0,0,0,150000,D,N,Off-System QOPC***,-
172,XO-16-NWP RECEIPT,68,Receipt Location,RPQ,Y,80640,80640,0,0,0,0,0,80640,R,N,-,-
173,,,1 - 173,,,,,,,,,,,,,,
174,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173,1 - 173
175,,,1 - 173,,,,,,,,,,,,,,
