Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDYC_2022-08-11_1135,08-11-2022,08-11-2022,Operational Capacity,11:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1135,08-11-2022,08-11-2022,Operational Capacity,11:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1200,08-11-2022,08-11-2022,Operational Capacity,12:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1200,08-11-2022,08-11-2022,Operational Capacity,12:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1600,08-11-2022,08-11-2022,Operational Capacity,16:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1600,08-11-2022,08-11-2022,Operational Capacity,16:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1635,08-11-2022,08-11-2022,Operational Capacity,16:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_1635,08-11-2022,08-11-2022,Operational Capacity,16:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_2035,08-11-2022,08-11-2022,Operational Capacity,20:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_2035,08-11-2022,08-11-2022,Operational Capacity,20:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDYC_2022-08-11_2135,08-11-2022,08-11-2022,Operational Capacity,21:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDYC_2022-08-11_2135,08-11-2022,08-11-2022,Operational Capacity,21:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDYC_2022-08-12_0835,08-12-2022,08-11-2022,Operational Capacity,08:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDYC_2022-08-12_0835,08-12-2022,08-11-2022,Operational Capacity,08:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-11_1000,08-11-2022,08-11-2022,Operational Capacity,10:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1000,08-11-2022,08-11-2022,Operational Capacity,10:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1100,08-11-2022,08-11-2022,Operational Capacity,11:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1100,08-11-2022,08-11-2022,Operational Capacity,11:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1300,08-11-2022,08-11-2022,Operational Capacity,13:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1300,08-11-2022,08-11-2022,Operational Capacity,13:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1400,08-11-2022,08-11-2022,Operational Capacity,14:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1400,08-11-2022,08-11-2022,Operational Capacity,14:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1500,08-11-2022,08-11-2022,Operational Capacity,15:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1500,08-11-2022,08-11-2022,Operational Capacity,15:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1700,08-11-2022,08-11-2022,Operational Capacity,17:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1700,08-11-2022,08-11-2022,Operational Capacity,17:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1800,08-11-2022,08-11-2022,Operational Capacity,18:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1800,08-11-2022,08-11-2022,Operational Capacity,18:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1900,08-11-2022,08-11-2022,Operational Capacity,19:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_1900,08-11-2022,08-11-2022,Operational Capacity,19:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_2000,08-11-2022,08-11-2022,Operational Capacity,20:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_2000,08-11-2022,08-11-2022,Operational Capacity,20:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_2100,08-11-2022,08-11-2022,Operational Capacity,21:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_2100,08-11-2022,08-11-2022,Operational Capacity,21:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
INTRDY_2022-08-11_2200,08-11-2022,08-11-2022,Operational Capacity,22:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-11_2200,08-11-2022,08-11-2022,Operational Capacity,22:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-11_2300,08-11-2022,08-11-2022,Operational Capacity,23:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-11_2300,08-11-2022,08-11-2022,Operational Capacity,23:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0005,08-12-2022,08-11-2022,Operational Capacity,00:05,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0005,08-12-2022,08-11-2022,Operational Capacity,00:05,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0100,08-12-2022,08-11-2022,Operational Capacity,01:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0100,08-12-2022,08-11-2022,Operational Capacity,01:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0200,08-12-2022,08-11-2022,Operational Capacity,02:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0200,08-12-2022,08-11-2022,Operational Capacity,02:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0300,08-12-2022,08-11-2022,Operational Capacity,03:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0300,08-12-2022,08-11-2022,Operational Capacity,03:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0400,08-12-2022,08-11-2022,Operational Capacity,04:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0400,08-12-2022,08-11-2022,Operational Capacity,04:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0500,08-12-2022,08-11-2022,Operational Capacity,05:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0500,08-12-2022,08-11-2022,Operational Capacity,05:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0600,08-12-2022,08-11-2022,Operational Capacity,06:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0600,08-12-2022,08-11-2022,Operational Capacity,06:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0700,08-12-2022,08-11-2022,Operational Capacity,07:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0700,08-12-2022,08-11-2022,Operational Capacity,07:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0800,08-12-2022,08-11-2022,Operational Capacity,08:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0800,08-12-2022,08-11-2022,Operational Capacity,08:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0900,08-12-2022,08-11-2022,Operational Capacity,09:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
INTRDY_2022-08-12_0900,08-12-2022,08-11-2022,Operational Capacity,09:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,385","172,035",BSP,968195714
LATEC_2022-08-10_1935,08-10-2022,08-11-2022,Operational Capacity,19:35,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATEC_2022-08-10_1935,08-10-2022,08-11-2022,Operational Capacity,19:35,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATEC_2022-08-10_2000,08-10-2022,08-11-2022,Operational Capacity,20:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATEC_2022-08-10_2000,08-10-2022,08-11-2022,Operational Capacity,20:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1500,08-10-2022,08-11-2022,Operational Capacity,15:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1500,08-10-2022,08-11-2022,Operational Capacity,15:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1600,08-10-2022,08-11-2022,Operational Capacity,16:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1600,08-10-2022,08-11-2022,Operational Capacity,16:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1700,08-10-2022,08-11-2022,Operational Capacity,17:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1700,08-10-2022,08-11-2022,Operational Capacity,17:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1800,08-10-2022,08-11-2022,Operational Capacity,18:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1800,08-10-2022,08-11-2022,Operational Capacity,18:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1900,08-10-2022,08-11-2022,Operational Capacity,19:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1900,08-10-2022,08-11-2022,Operational Capacity,19:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2100,08-10-2022,08-11-2022,Operational Capacity,21:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2100,08-10-2022,08-11-2022,Operational Capacity,21:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2200,08-10-2022,08-11-2022,Operational Capacity,22:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2200,08-10-2022,08-11-2022,Operational Capacity,22:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2300,08-10-2022,08-11-2022,Operational Capacity,23:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2300,08-10-2022,08-11-2022,Operational Capacity,23:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0005,08-11-2022,08-11-2022,Operational Capacity,00:05,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0005,08-11-2022,08-11-2022,Operational Capacity,00:05,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0100,08-11-2022,08-11-2022,Operational Capacity,01:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0100,08-11-2022,08-11-2022,Operational Capacity,01:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0200,08-11-2022,08-11-2022,Operational Capacity,02:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0200,08-11-2022,08-11-2022,Operational Capacity,02:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0300,08-11-2022,08-11-2022,Operational Capacity,03:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0300,08-11-2022,08-11-2022,Operational Capacity,03:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0400,08-11-2022,08-11-2022,Operational Capacity,04:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0400,08-11-2022,08-11-2022,Operational Capacity,04:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0500,08-11-2022,08-11-2022,Operational Capacity,05:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0500,08-11-2022,08-11-2022,Operational Capacity,05:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0600,08-11-2022,08-11-2022,Operational Capacity,06:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0600,08-11-2022,08-11-2022,Operational Capacity,06:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0700,08-11-2022,08-11-2022,Operational Capacity,07:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0700,08-11-2022,08-11-2022,Operational Capacity,07:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0800,08-11-2022,08-11-2022,Operational Capacity,08:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0800,08-11-2022,08-11-2022,Operational Capacity,08:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0900,08-11-2022,08-11-2022,Operational Capacity,09:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0900,08-11-2022,08-11-2022,Operational Capacity,09:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
TIMELY_2022-08-10_1455,08-10-2022,08-11-2022,Operational Capacity,14:55,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
TIMELY_2022-08-10_1455,08-10-2022,08-11-2022,Operational Capacity,14:55,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
