TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78542,EAST OF HWY 789,ANR,MQ,DPQ,D,500000.0,500000,272937,227063,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79038,EAST OF HWY 789,ARCADIA GAS STORAGE,MQ,DPQ,D,250000.0,265000,26425,238575,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79038,EAST OF HWY 789,ARCADIA GAS STORAGE,M2,RPQ,R,250000.0,265000,18900,246100,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79008,EAST OF HWY 789,BISTINEAU,M2,RPQ,R,250000.0,250000,196612,53388,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79037,EAST OF HWY 789,Black Bear Caddo,M2,RPQ,R,100000.0,100000,15200,84800,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79039,EAST OF HWY 789,CADEVILLE GAS STORAGE,MQ,DPQ,D,250000.0,265000,106916,158084,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78532,EAST OF HWY 789,CLEAR LAKE,M2,RPQ,R,500000.0,500000,125001,374999,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78555,EAST OF HWY 789,COLUMBIA GULF,MQ,DPQ,D,1300000.0,1300000,131522,1168478,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79023,WEST OF HWY 789,ENTERPRISE STATELINE I/C,M2,RPQ,R,250000.0,250000,10000,240000,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78554,EAST OF HWY 789,EXCO / HOLLY,M2,RPQ,R,500000.0,500000,204352,295648,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79060,EAST OF HWY 789,HODGE PAPER MILL,MQ,DPQ,D,30000.0,30000,21500,8500,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79025,EAST OF HWY 789,KINDERHAWK NORTH HOLLY I/C,M2,RPQ,R,350000.0,350000,54919,295081,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79024,EAST OF HWY 789,KINDERHAWK PLANTATION I/C,M2,RPQ,R,350000.0,350000,92345,257655,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78535,EAST OF HWY 789,MAGNOLIA,M2,RPQ,R,500000.0,500000,304397,195603,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78528,EAST OF HWY 789,MANSFIELD,M2,RPQ,R,1000000.0,1000000,403826,596174,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,100736,WEST OF HWY 789,MOMENTUM DEADWOOD,M2,RPQ,R,450000.0,450000,1000,449000,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79007,EAST OF HWY 789,SESH - SPECTRA,MQ,DPQ,D,,867000,509429,357571,Y,Y,N,N,Design Capacity at measurement location
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,79006,EAST OF HWY 789,SESH-SNG,MQ,DPQ,D,,433000,330937,102063,N,N,N,N,Design Capacity at measurement location
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78530,EAST OF HWY 789,SPRINGRIDGE,M2,RPQ,R,750000.0,750000,738308,11692,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78538,EAST OF HWY 789,TENNESSEE GAS PIPELINE,MQ,DPQ,D,265000.0,265000,96600,168400,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78536,EAST OF HWY 789,TEXAS EASTERN,MQ,DPQ,D,140000.0,140000,18660,121340,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78540,EAST OF HWY 789,TEXAS GAS TRANSMISSION,MQ,DPQ,D,500000.0,500000,421175,78825,Y,Y,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,100728,EAST OF HWY 789,TGP Delhi,MQ,DPQ,D,650000.0,650000,220109,429891,N,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78541,EAST OF HWY 789,TRUNKLINE GAS PIPELINE,MQ,DPQ,D,500000.0,500000,128321,371679,Y,N,N,Y,
829521983,ETC Tiger Pipeline,07/07/2022 4:30PM,07/08/2022 9:00AM,MMBtu,78534,EAST OF HWY 789,WOODARDVILLE,M2,RPQ,R,140000.0,140000,133005,6995,Y,Y,N,Y,
